classification lower bound,drift upper bound,classifier name,number of features,train score,test score
0.0,0.03,logit,6027,0.7235,0.3826
0.0,0.03,svm,6027,0.7280,0.3719
0.0,0.03,random_forest,6027,0.9936,0.7121
0.0,0.0005,logit,5708,0.6757,0.3506
0.0,0.0005,svm,5708,0.6839,0.3532
0.0,0.0005,random_forest,5708,0.9924,0.7173
0.0,0.00025,logit,5143,0.6142,0.3469
0.0,0.00025,svm,5143,0.6239,0.3540
0.0,0.00025,random_forest,5143,0.9906,0.7011
0.0,0.0001,logit,4133,0.4733,0.2812
0.0,0.0001,svm,4133,0.4664,0.2650
0.0,0.0001,random_forest,4133,0.9876,0.7139
0.0,1e-05,logit,1685,0.1567,0.1493
0.0,1e-05,svm,1685,0.1578,0.1400
0.0,1e-05,random_forest,1685,0.9545,0.5331
1e-05,0.0005,logit,3337,0.6755,0.3590
1e-05,0.0005,svm,3337,0.6591,0.3501
1e-05,0.0005,random_forest,3337,0.9928,0.6992
1e-05,0.00025,logit,2802,0.6293,0.3801
1e-05,0.00025,svm,2802,0.6414,0.3895
1e-05,0.00025,random_forest,2802,0.9907,0.7051
1e-05,0.0001,logit,1909,0.4825,0.2817
1e-05,0.0001,svm,1909,0.4824,0.2801
1e-05,0.0001,random_forest,1909,0.9888,0.7027
1e-05,1e-05,logit,350,0.1275,0.1270
1e-05,1e-05,svm,350,0.1535,0.1204
1e-05,1e-05,random_forest,350,0.9577,0.5254
5e-05,0.0005,logit,1751,0.5486,0.3172
5e-05,0.0005,svm,1751,0.5711,0.3307
5e-05,0.0005,random_forest,1751,0.9935,0.7085
5e-05,0.00025,logit,1310,0.4600,0.3431
5e-05,0.00025,svm,1310,0.4747,0.3241
5e-05,0.00025,random_forest,1310,0.9920,0.7026
5e-05,0.0001,logit,674,0.3471,0.2740
5e-05,0.0001,svm,674,0.3264,0.2923
5e-05,0.0001,random_forest,674,0.9904,0.6954
5e-05,1e-05,logit,54,0.1113,0.1088
5e-05,1e-05,svm,54,0.1163,0.1050
5e-05,1e-05,random_forest,54,0.9393,0.4560
0.0001,0.0001,logit,340,0.3044,0.2421
0.0001,0.0001,svm,340,0.3005,0.2897
0.0001,0.0001,random_forest,340,0.9903,0.7064
0.0001,0.0005,logit,1124,0.4966,0.3367
0.0001,0.0005,svm,1124,0.4939,0.3135
0.0001,0.0005,random_forest,1124,0.9945,0.7125
0.0001,0.00025,logit,762,0.3601,0.3018
0.0001,0.00025,svm,762,0.3915,0.3071
0.0001,0.00025,random_forest,762,0.9927,0.7041
0.0001,0.0001,logit,340,0.3044,0.2421
0.0001,0.0001,svm,340,0.3005,0.2897
0.0001,0.0001,random_forest,340,0.9903,0.7064
0.0005,0.0001,logit,37,0.0825,0.0757
0.0005,0.0001,svm,37,0.0868,0.0759
0.0005,0.0001,random_forest,37,0.9671,0.6205
0.0005,0.0005,logit,239,0.1666,0.0986
0.0005,0.0005,svm,239,0.1745,0.1368
0.0005,0.0005,random_forest,239,0.9930,0.7053
0.0005,0.00025,logit,107,0.1883,0.2064
0.0005,0.00025,svm,107,0.1513,0.1415
0.0005,0.00025,random_forest,107,0.9907,0.6956
0.001,0.03,logit,185,0.1770,0.1901
0.001,0.03,svm,185,0.1930,0.1949
0.001,0.03,random_forest,185,0.9940,0.7338
