$threshold_{class}$,$threshold_{drift}$,Liczba cech,$X_{train}$ $BAC$,$X_{test}$ $BAC$
0.0,0.03,5355,0.9948,0.7222
0.0,0.0005,5013,0.9935,0.7058
0.0,0.00025,4442,0.9926,0.7035
0.0,0.0001,3395,0.9875,0.6759
0.0,1e-05,1131,0.9470,0.5310
1e-05,0.0005,3243,0.9940,0.7115
1e-05,0.00025,2696,0.9922,0.7008
1e-05,0.0001,1787,0.9895,0.6920
1e-05,1e-05,295,0.9524,0.5212
5e-05,0.0005,1760,0.9949,0.7090
5e-05,0.00025,1320,0.9923,0.7005
5e-05,0.0001,702,0.9910,0.6679
5e-05,1e-05,47,0.9369,0.4419
0.0001,0.0001,339,0.9909,0.6683
0.0001,0.0005,1093,0.9948,0.7099
0.0001,0.00025,742,0.9926,0.7007
0.0001,0.0001,339,0.9909,0.6683
0.0005,0.0001,40,0.9740,0.5612
0.0005,0.0005,239,0.9929,0.7128
0.0005,0.00025,131,0.9921,0.6946
0.001,0.03,187,0.9940,0.7209
