$threshold_{class}$,$threshold_{drift}$,Liczba cech,$X_{train}$ $BAC$,$X_{test}$ $BAC$
0.0,0.03,5355,0.9586,0.5346
0.0,0.0005,5013,0.9446,0.5325
0.0,0.00025,4442,0.9403,0.4955
0.0,0.0001,3395,0.8958,0.4701
0.0,1e-05,1131,0.6597,0.4143
1e-05,0.0005,3243,0.9620,0.5063
1e-05,0.00025,2696,0.9547,0.5505
1e-05,0.0001,1787,0.9175,0.4678
1e-05,1e-05,295,0.4627,0.3152
5e-05,0.0005,1760,0.9453,0.4923
5e-05,0.00025,1320,0.9478,0.4919
5e-05,0.0001,702,0.8572,0.4909
5e-05,1e-05,47,0.3699,0.2716
0.0001,0.0001,339,0.8000,0.5489
0.0001,0.0005,1093,0.9422,0.5673
0.0001,0.00025,742,0.8719,0.6131
0.0001,0.0001,339,0.8000,0.5489
0.0005,0.0001,40,0.3058,0.2839
0.0005,0.0005,239,0.7547,0.5221
0.0005,0.00025,131,0.6899,0.4533
0.001,0.03,187,0.6946,0.5908
