$threshold_{class}$,$threshold_{drift}$,Liczba cech,$X_{train}$ $BAC$,$X_{test}$ $BAC$
0.0,10000000.0,5349,0.9954,0.7313
0.0,10,655,0.7339,0.3663
0.0,50,2840,0.9822,0.6810
0.0,100,4270,0.9877,0.7193
0.0,250,4936,0.9916,0.7157
0.0,500,5141,0.9928,0.7060
0.0,2000,5284,0.9941,0.7170
500,10,9,0.2943,0.2042
500,50,641,0.9808,0.6637
500,100,1391,0.9898,0.7167
500,250,1694,0.9913,0.7145
500,500,1757,0.9932,0.7180
500,2000,1824,0.9939,0.7091
1000,10,5,0.2421,0.1824
1000,50,311,0.9798,0.5787
1000,100,726,0.9876,0.6489
1000,250,898,0.9906,0.6734
1000,500,924,0.9901,0.6619
1000,2000,950,0.9910,0.6385
2000,10,1,0.0625,0.0625
2000,50,129,0.9630,0.5118
2000,100,351,0.9841,0.5806
2000,250,464,0.9877,0.5820
2000,500,474,0.9884,0.5899
2000,2000,481,0.9897,0.5994
4000,500,131,0.9611,0.5090
