$threshold_{class}$,$threshold_{drift}$,Liczba cech,$X_{train}$ $BAC$,$X_{test}$ $BAC$
0.0,0.4,5355,0.9497,0.5348
0.0,0.002,5278,0.9513,0.5336
0.0,0.0005,4959,0.9466,0.5360
0.0,5e-05,3900,0.9263,0.5000
0.0,2.5e-05,3566,0.9314,0.4985
0.0,1.25e-05,3108,0.9101,0.4850
0.0,1e-05,3001,0.9193,0.5101
2.5e-05,0.4,2754,0.9651,0.5284
2.5e-05,0.002,2684,0.9702,0.5297
2.5e-05,0.0005,2437,0.9582,0.5302
2.5e-05,5e-05,1661,0.9128,0.5383
2.5e-05,2.5e-05,1458,0.9147,0.5372
2.5e-05,1.25e-05,1177,0.8963,0.5902
5e-05,0.4,2057,0.9630,0.5311
5e-05,0.002,1997,0.9689,0.5526
5e-05,0.0005,1792,0.9600,0.5302
5e-05,5e-05,1186,0.9034,0.5641
5e-05,2.5e-05,1032,0.9164,0.5754
5e-05,1.25e-05,819,0.8789,0.5764
0.00025,0.4,703,0.9272,0.6193
0.00025,0.002,678,0.9039,0.6294
0.00025,0.0005,615,0.9124,0.5347
0.00025,5e-05,396,0.8999,0.6231
0.00025,2.5e-05,339,0.8835,0.6161
0.0005,0.4,382,0.8618,0.5977
0.0005,0.002,369,0.7949,0.5716
0.0005,0.0005,347,0.8223,0.5786
0.0005,5e-05,233,0.8350,0.5752
0.0005,2.5e-05,201,0.8340,0.5113
0.001,0.4,187,0.6823,0.5260
0.001,0.002,182,0.6805,0.4793
0.001,0.0005,172,0.6801,0.5296
0.001,5e-05,114,0.7202,0.4882
