$threshold_{class}$,$threshold_{drift}$,Liczba cech,$X_{train}$ $BAC$,$X_{test}$ $BAC$
0.0,0.4,6027,0.9497,0.5348
0.0,5e-05,3900,0.9263,0.5000
0.0,2.5e-05,3566,0.9314,0.4985
0.0,1e-05,3001,0.9193,0.5101
2.5e-05,0.4,2754,0.9651,0.5284
2.5e-05,5e-05,1661,0.9128,0.5383
2.5e-05,2.5e-05,1458,0.9147,0.5372
5e-05,0.4,2057,0.9630,0.5311
5e-05,5e-05,1186,0.9034,0.5641
5e-05,1.25e-05,819,0.8789,0.5764
0.00025,0.4,703,0.9272,0.6193
0.00025,0.002,678,0.9039,0.6294
0.00025,2.5e-05,339,0.8835,0.6161
0.001,0.4,187,0.6823,0.5260
0.001,0.0005,172,0.6801,0.5296
0.001,5e-05,114,0.7202,0.4882
