$threshold_{class}$,$threshold_{drift}$,Liczba cech,$X_{train}$ $BAC$,$X_{test}$ $BAC$
0.0,0.4,6027,0.9948,0.7118
0.0,5e-05,3900,0.9926,0.7258
0.0,2.5e-05,3566,0.9907,0.7366
0.0,1e-05,3001,0.9908,0.7359
2.5e-05,0.4,2754,0.9954,0.7258
2.5e-05,5e-05,1661,0.9937,0.7265
2.5e-05,2.5e-05,1458,0.9920,0.7372
5e-05,0.4,2057,0.9958,0.7175
5e-05,5e-05,1186,0.9943,0.7307
5e-05,1.25e-05,819,0.9919,0.7337
0.00025,0.4,703,0.9961,0.7325
0.00025,0.002,678,0.9948,0.7417
0.00025,2.5e-05,339,0.9937,0.7526
0.001,0.4,187,0.9940,0.7209
0.001,0.0005,172,0.9917,0.7219
0.001,5e-05,114,0.9898,0.7027
