$threshold_{class}$,$threshold_{drift}$,Liczba cech,$X_{train}$ $BAC$,$X_{test}$ $BAC$
0.0,0.4,5355,0.9586,0.5346
0.0,0.002,5278,0.9461,0.5260
0.0,0.0005,4959,0.9433,0.5304
0.0,5e-05,3900,0.9264,0.4974
0.0,2.5e-05,3566,0.9222,0.4821
0.0,1.25e-05,3108,0.8960,0.5005
0.0,1e-05,3001,0.9085,0.5064
2.5e-05,0.4,2754,0.9673,0.5346
2.5e-05,0.002,2684,0.9603,0.5307
2.5e-05,0.0005,2437,0.9680,0.5159
2.5e-05,5e-05,1661,0.9308,0.5080
2.5e-05,2.5e-05,1458,0.9116,0.5279
2.5e-05,1.25e-05,1177,0.9001,0.5655
5e-05,0.4,2057,0.9618,0.5513
5e-05,0.002,1997,0.9673,0.5461
5e-05,0.0005,1792,0.9538,0.5562
5e-05,5e-05,1186,0.9300,0.5308
5e-05,2.5e-05,1032,0.9292,0.5397
5e-05,1.25e-05,819,0.8888,0.5760
0.00025,0.4,703,0.9100,0.5945
0.00025,0.002,678,0.9169,0.6287
0.00025,0.0005,615,0.8982,0.5998
0.00025,5e-05,396,0.8906,0.6286
0.00025,2.5e-05,339,0.8849,0.5973
0.0005,0.4,382,0.8558,0.5888
0.0005,0.002,369,0.8422,0.5963
0.0005,0.0005,347,0.8333,0.5724
0.0005,5e-05,233,0.8614,0.5756
0.0005,2.5e-05,201,0.8340,0.5996
0.001,0.4,187,0.6946,0.5908
0.001,0.002,182,0.6735,0.4931
0.001,0.0005,172,0.6849,0.4715
0.001,5e-05,114,0.6968,0.4628
