classification lower bound,drift upper bound,classifier name,number of features,train score,test score
0.0,10000000.0,logit,5355,0.9497,0.5348
0.0,10000000.0,svm,5355,0.9586,0.5346
0.0,10000000.0,random_forest,5355,0.9948,0.7222
0.0,10,logit,1275,0.6526,0.3950
0.0,10,svm,1275,0.6506,0.3801
0.0,10,random_forest,1275,0.9782,0.6462
0.0,50,logit,3381,0.9157,0.4987
0.0,50,svm,3381,0.9031,0.4836
0.0,50,random_forest,3381,0.9923,0.7059
0.0,100,logit,4294,0.9151,0.5146
0.0,100,svm,4294,0.9311,0.4932
0.0,100,random_forest,4294,0.9914,0.7281
0.0,250,logit,4921,0.9356,0.5162
0.0,250,svm,4921,0.9393,0.5220
0.0,250,random_forest,4921,0.9922,0.7173
0.0,500,logit,5086,0.9481,0.5162
0.0,500,svm,5086,0.9483,0.5099
0.0,500,random_forest,5086,0.9922,0.7185
0.0,2000,logit,5333,0.9514,0.5276
0.0,2000,svm,5333,0.9388,0.5295
0.0,2000,random_forest,5333,0.9942,0.7177
500,10,logit,158,0.4806,0.1769
500,10,svm,158,0.4671,0.3155
500,10,random_forest,158,0.9765,0.6247
500,50,logit,1160,0.8749,0.5473
500,50,svm,1160,0.8813,0.5649
500,50,random_forest,1160,0.9916,0.6943
500,100,logit,1574,0.9050,0.5571
500,100,svm,1574,0.9130,0.5298
500,100,random_forest,1574,0.9925,0.7161
500,250,logit,1807,0.9031,0.5448
500,250,svm,1807,0.9299,0.5729
500,250,random_forest,1807,0.9933,0.7100
500,500,logit,1841,0.9253,0.5711
500,500,svm,1841,0.9098,0.5533
500,500,random_forest,1841,0.9934,0.7100
500,2000,logit,1847,0.9249,0.5504
500,2000,svm,1847,0.9226,0.5414
500,2000,random_forest,1847,0.9930,0.7111
1000,10,logit,60,0.2541,0.1419
1000,10,svm,60,0.2234,0.0946
1000,10,random_forest,60,0.9565,0.4905
1000,50,logit,641,0.7023,0.4835
1000,50,svm,641,0.6861,0.5329
1000,50,random_forest,641,0.9876,0.6466
1000,100,logit,848,0.7764,0.5425
1000,100,svm,848,0.8128,0.4395
1000,100,random_forest,848,0.9919,0.6675
1000,250,logit,943,0.7805,0.4956
1000,250,svm,943,0.7783,0.4821
1000,250,random_forest,943,0.9931,0.6492
1000,500,logit,954,0.7690,0.5194
1000,500,svm,954,0.7802,0.5565
1000,500,random_forest,954,0.9921,0.6563
1000,2000,logit,954,0.7690,0.5194
1000,2000,svm,954,0.7802,0.5565
1000,2000,random_forest,954,0.9921,0.6563
2000,10,logit,32,0.2421,0.1466
2000,10,svm,32,0.3015,0.2199
2000,10,random_forest,32,0.8476,0.3421
2000,50,logit,376,0.6209,0.3175
2000,50,svm,376,0.5448,0.3703
2000,50,random_forest,376,0.9892,0.5655
2000,100,logit,451,0.6357,0.3995
2000,100,svm,451,0.6600,0.4114
2000,100,random_forest,451,0.9866,0.5966
2000,250,logit,479,0.6393,0.3998
2000,250,svm,479,0.6484,0.4022
2000,250,random_forest,479,0.9877,0.5863
2000,500,logit,482,0.6959,0.4413
2000,500,svm,482,0.7132,0.3913
2000,500,random_forest,482,0.9876,0.6022
2000,2000,logit,482,0.6959,0.4413
2000,2000,svm,482,0.7132,0.3913
2000,2000,random_forest,482,0.9876,0.6022
4000,500,logit,131,0.4952,0.2342
4000,500,svm,131,0.5311,0.2364
4000,500,random_forest,131,0.9611,0.5090
